,doc_id,Untagged,ActorsAbstractions,ActorsPeople,SignpostingMetadiscourse,OrganizationNarrative,OrganizationReasoning,SentimentNegative,SentimentPositive,SignpostingAcademicWritingMoves,ConfidenceHedged,ActorsPublicEntities,PlanningStrategy,StanceEmphatic,ConfidenceHigh,PlanningFuture,ActorsFirstPerson,CitationAuthority,StanceModerated,CitationNeutral,CitationControversy
321,NURS_S0020748915002308,3058,695,161,88,118,84,144,199,58,58,79,67,41,23,18,34,10,4,7,3
322,NURS_S002074891600064X,2526,456,288,91,205,112,65,93,61,52,27,48,22,16,5,24,12,8,3,0
323,NURS_S0020748917300299,3823,896,191,177,106,124,106,232,62,54,198,50,23,31,8,28,13,8,14,0
324,NURS_S0020748917300949,3932,780,221,143,151,101,169,240,70,106,100,44,29,25,13,17,27,2,12,2
325,NURS_S0020748919300367,1960,403,117,79,101,98,148,64,41,40,57,15,13,19,10,14,5,5,2,0
326,NURS_S0020748919302949,4203,821,323,226,134,203,110,152,112,100,76,76,38,43,12,13,12,26,11,0
327,NURS_S0029655414000517,2396,515,244,77,85,62,36,151,41,31,110,60,11,9,53,9,5,1,1,0
328,NURS_S0882596318305098,3156,428,527,98,87,68,155,131,40,46,38,36,13,11,10,16,7,3,8,0
329,NURS_S0884217515315665,2299,341,260,103,234,51,48,133,28,11,86,30,11,9,13,5,2,7,10,0
330,NURS_S1055329016301042,1486,244,97,42,56,39,41,52,49,31,14,30,8,11,2,11,9,19,6,0
331,NURS_S1355184119300663,2939,611,351,119,130,103,124,197,88,36,41,22,22,23,16,9,18,4,9,0
332,NURS_S1462388914001355,2086,386,110,57,167,51,79,69,55,14,28,22,12,11,3,8,5,15,3,0
333,NURS_S1462388916300278,2956,517,293,108,173,98,192,151,51,34,60,24,30,24,16,12,4,7,7,2
334,NURS_S1462388918300802,3713,575,346,123,182,148,146,156,148,77,58,77,35,25,22,52,11,4,24,0
335,NURS_S1462388919300183,4146,695,505,115,190,110,208,169,42,91,91,27,42,38,26,52,6,6,18,0
336,NURS_S1755599X1630180X,1445,245,143,47,74,33,84,104,19,19,58,18,6,14,22,3,5,1,2,0
337,NURS_S2214139115000165,2721,642,301,86,129,91,68,157,39,19,171,32,13,15,11,9,16,2,9,6
338,NURS_S2214139115000177,1395,353,183,51,53,36,35,71,33,19,12,18,18,10,5,4,11,1,0,0
339,NURS_S2214139116300282,1805,482,157,51,53,62,65,102,39,27,57,44,6,17,7,5,61,7,16,3
340,PHYS_S0003682X13002946,2216,361,12,86,42,95,97,33,36,35,5,24,11,20,22,0,6,11,2,0
341,PHYS_S0003682X15001802,1757,373,18,58,18,72,79,24,32,25,16,20,7,13,20,0,7,10,5,0
342,PHYS_S0041624X13003351,2440,316,21,57,39,77,50,44,29,29,10,10,21,23,11,2,3,5,0,0
343,PHYS_S0168900213017208,1250,226,14,21,44,23,37,72,21,8,16,28,10,8,13,8,3,0,5,0
344,PHYS_S0168900213017646,2309,417,39,99,69,86,82,69,37,58,13,60,30,19,44,13,9,2,7,0
345,PHYS_S0168900214013953,4832,1135,109,249,257,250,250,186,91,156,49,47,56,80,41,25,12,19,9,4
346,PHYS_S016890021401482X,881,124,13,10,22,8,7,10,25,2,0,3,2,1,0,4,0,2,1,0
347,PHYS_S0168900214014867,3259,675,59,95,93,94,42,117,24,32,29,35,26,11,22,6,7,7,7,3
348,PHYS_S0168900215016010,3100,578,57,47,37,66,97,56,32,37,9,45,14,11,10,28,21,4,1,0
349,PHYS_S0969804317303044,1134,155,27,33,30,21,16,25,11,11,10,16,9,5,2,0,4,4,0,1
350,PHYS_S2211379716300742,1319,317,47,22,22,40,19,24,31,21,23,6,7,4,3,0,12,1,0,0
351,PHYS_S221137971731313X,2028,415,70,72,45,56,43,49,36,25,31,24,18,17,7,13,19,4,4,0
352,PHYS_S2211379718301566,4225,685,80,56,75,80,44,36,75,18,15,14,35,10,11,1,15,2,1,1
353,PHYS_S2211379718302900,1994,358,56,41,31,43,26,80,26,10,6,19,13,5,6,9,21,2,2,0
354,PHYS_S2211379718313317,2149,352,39,60,52,59,45,24,24,28,14,10,14,9,1,8,9,2,2,0
355,PHYS_S221137971832240X,1295,258,22,43,11,33,43,37,17,12,17,6,21,10,22,6,3,3,2,1
356,PHYS_S2211379718331668,2155,409,32,46,44,51,52,43,28,14,8,8,16,5,4,3,10,1,0,0
357,PHYS_S2211379718332649,1318,213,32,36,28,31,22,39,17,14,3,11,12,8,2,6,7,2,1,0
358,PHYS_S2211379719314664,1412,323,23,23,34,57,47,29,28,7,12,21,13,3,3,3,8,1,2,0
359,PHYS_S2211379719322508,554,75,4,7,2,26,5,36,3,6,1,4,5,6,1,2,3,0,0,0
360,PSYC_S0022096515002325,4693,1171,480,214,138,127,130,113,61,39,86,24,29,17,16,26,18,8,13,2
361,PSYC_S0022096515002891,3882,734,265,175,118,316,98,69,46,62,20,17,22,18,6,11,22,11,4,9
362,PSYC_S0022096516300625,3421,415,329,126,115,106,138,138,70,63,22,28,21,66,19,22,12,9,2,2
363,PSYC_S0022096516302909,1907,308,197,69,53,58,43,50,31,40,39,17,14,12,9,20,10,3,1,0
364,PSYC_S0163638314000411,3309,689,216,104,173,100,70,105,113,41,16,14,10,9,11,34,21,8,9,5
365,PSYC_S0163638314000551,3955,590,603,114,150,101,200,136,56,47,27,60,34,20,16,25,13,7,6,3
366,PSYC_S0163638314000939,3797,841,512,193,298,236,143,114,67,48,28,21,64,19,42,11,12,7,3,0
367,PSYC_S0163638315301272,3792,588,335,117,137,112,69,78,51,58,63,19,28,12,25,11,17,16,3,1
368,PSYC_S016363831730053X,2000,345,255,57,143,95,86,37,27,40,13,16,8,3,1,12,8,0,5,0
369,PSYC_S0163638318301346,9521,1432,636,289,403,341,166,145,143,76,64,86,41,35,90,55,41,29,10,9
370,PSYC_S0191886916310352,1515,299,130,47,27,41,20,108,49,39,10,7,6,10,13,7,5,4,0,0
